Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
Euskaltel,69.41,70.84,71.22,0.00,73.32,76.65,75.99,76.22,78.07,71.93,73.66,74.66,74.56,75.87,74.83,75.32,74.20,76.05,75.59,77.54,77.70,78.68,76.50,76.09,76.05,78.30,79.62,79.87,76.71,76.60,76.41,78.71,73.99,76.65,75.14,76.30,72.38,72.80,73.02,74.59,73.10,75.37,75.95,134.71,134.54,136.00,135.73,134.51,131.18,131.21,166.13,167.41,166.65,162.86,165.01,167.97,160.86,160.81,159.67,160.14,160.39,160.94,162.35,166.68,160.05,
Resto,1376.33,1484.49,1213.68,0.00,1490.18,1583.01,1311.19,1632.04,1577.82,1700.83,1390.05,1751.56,1661.20,1755.87,1453.08,1790.55,1626.13,1637.19,1403.52,1647.05,1537.55,1618.92,1499.92,1659.74,1598.72,1666.45,1543.86,1640.97,1581.68,1584.95,1620.37,1633.15,1563.78,1606.08,1585.80,1738.03,1573.67,1582.47,1188.97,1303.06,1241.39,1045.73,757.20,750.35,689.48,710.15,687.31,518.45,451.58,480.38,419.03,496.67,424.98,462.60,399.85,485.76,450.78,479.65,434.55,546.94,446.81,380.43,396.94,500.94,411.96,
Total,7610.59,8158.94,7765.94,0.00,8041.86,8435.88,8207.20,8784.47,8649.49,9100.74,8574.07,9216.68,8854.29,9158.19,8793.75,9022.48,8418.38,8436.58,8156.72,8748.79,8025.99,8243.88,8061.93,8281.97,7842.34,7893.89,7678.09,7857.63,7294.14,7156.89,6903.06,7082.75,6534.01,6664.98,6451.23,6742.71,6190.27,6162.57,5944.42,6359.17,5959.72,6123.11,6006.46,6229.64,5935.20,6136.70,6036.61,6352.95,6043.01,6240.78,6160.90,6460.87,6128.52,6327.70,6069.37,6410.50,6158.52,6210.32,6004.14,6382.38,5881.76,5509.96,5752.70,6031.56,5668.45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grupo MASMOVIL incluye Más Móvil, Yoigo, Pepephone y Xtra Telecom a partir del 4º trim de 2016, LlamaYA a partir del 1er trim de 2017, Lebara a partir del 4º trim de 2018, Hits Mobile a partir del 3er trim de 2019 y Lycamobile a partir del 2º trim de 2020. Euskaltel incluye R a partir del 4º trimestre de 2015 y TeleCable a partir del 3er trimestre de 2017. Orange incluye Jazztel a partir del 3er trimestre de 2015 y Suma a partir del 4º trimestre de 2019. Vodafone incluye Ono a partir del 3er trimestre de 2014. Movistar incluye los ingresos correspondientes a servicios fijos, móviles y audiovisuales para toda la serie histórica. Movistar incluye DTS a partir del 2º trimestre de 2015 y TAD a partir del 1er trimestre de 2016. Los operadores móviles de red incluyen los OMV y las marcas comerciales de su propiedad (Movistar incluye Tuenti y O2, Vodafone incluye Lowi y Orange incluye Amena, Simyo a partir del 1er trim. 2013 y República Móvil a partir del 1er trim. 2019).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
