,,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
,Comunicaciones de empresa,316.53,311.73,308.19,0.00,286.79,279.43,311.75,300.63,316.36,319.57,314.85,334.83,332.70,337.00,340.29,344.41,357.91,356.42,352.34,365.40,357.45,367.78,365.36,373.93,355.66,362.69,361.60,352.67,358.98,356.54,350.47,364.81,354.36,339.07,341.08,340.96,346.46,343.92,337.51,335.11,333.51,336.53,329.30,327.91,331.77,339.16,326.35,325.77,344.58,338.81,343.02,348.58,340.51,353.05,353.14,356.20,350.02,351.31,364.50,362.47,357.70,305.80,343.23,334.56,328.02,
,,--,--,--,--,-9.4%,-10.4%,1.2%,--,10.3%,14.4%,1.0%,11.4%,5.2%,5.5%,8.1%,2.9%,7.6%,5.8%,3.5%,6.1%,-0.1%,3.2%,3.7%,2.3%,-0.5%,-1.4%,-1.0%,-5.7%,0.9%,-1.7%,-3.1%,3.4%,-1.3%,-4.9%,-2.7%,-6.5%,-2.2%,1.4%,-1.0%,-1.7%,-3.7%,-2.1%,-2.4%,-2.1%,-0.5%,0.8%,-0.9%,-0.7%,3.9%,-0.1%,5.1%,7.0%,-1.2%,4.2%,3.0%,2.2%,2.8%,-0.5%,3.2%,1.8%,2.2%,-13.0%,-5.8%,-7.7%,-8.3%,
,Servicios de información telefónica,23.18,23.88,26.12,0.00,26.33,27.87,29.21,29.81,28.26,29.19,28.70,27.18,25.92,25.41,25.39,22.58,20.18,19.86,20.33,18.03,17.30,17.93,18.18,16.24,14.78,14.94,14.81,12.89,12.14,11.82,12.03,10.66,9.22,9.04,9.19,8.64,7.87,7.67,7.25,6.65,6.30,6.55,6.83,5.23,4.91,5.33,4.38,4.22,4.27,4.19,4.41,3.96,3.33,3.28,2.49,2.18,2.03,2.67,2.82,2.41,2.22,1.80,1.95,1.77,1.30,
,,--,--,--,--,13.6%,16.7%,11.8%,--,7.3%,4.7%,-1.7%,-8.8%,-8.3%,-12.9%,-11.5%,-16.9%,-22.1%,-21.8%,-19.9%,-20.2%,-14.3%,-9.7%,-10.6%,-9.9%,-14.6%,-16.7%,-18.5%,-20.6%,-17.9%,-20.9%,-18.8%,-17.3%,-24.1%,-23.5%,-23.6%,-18.9%,-14.6%,-15.2%,-21.1%,-23.0%,-19.9%,-14.6%,-5.8%,-21.4%,-22.1%,-18.6%,-35.9%,-19.3%,-13.0%,-21.4%,0.7%,-6.2%,-22.0%,-21.7%,-43.5%,-44.9%,-39.0%,-18.6%,13.3%,10.6%,9.4%,-32.6%,-30.9%,-26.6%,-41.4%,
Comunicaciones móviles,,2783.09,2980.14,3184.40,0.00,3071.45,3280.20,3499.47,3509.92,3491.34,3749.23,3865.75,3796.26,3725.65,3771.00,3860.82,3721.47,3538.85,3618.42,3756.33,3629.67,3427.78,3508.60,3624.31,3454.57,3332.11,3385.89,3495.38,3279.39,3088.11,3044.42,3084.33,2911.45,2733.02,2736.77,2708.70,2567.22,2450.56,2405.25,2422.54,2340.33,2239.20,2233.90,2323.50,2261.94,2207.16,2249.95,2323.49,2236.49,2206.27,2286.06,2361.27,2279.01,2298.40,2382.72,2390.12,2319.70,2310.24,2304.54,2370.79,2351.02,2299.74,2274.58,2307.66,2265.32,2212.60,
,,--,--,--,--,10.4%,10.1%,9.9%,--,13.7%,14.3%,10.5%,8.2%,6.7%,0.6%,-0.1%,-2.0%,-5.0%,-4.0%,-2.7%,-2.5%,-3.1%,-3.0%,-3.5%,-4.8%,-2.8%,-3.5%,-3.6%,-5.1%,-7.3%,-10.1%,-11.8%,-11.2%,-11.5%,-10.1%,-12.2%,-11.8%,-10.3%,-12.1%,-10.6%,-8.8%,-8.6%,-7.1%,-4.1%,-3.3%,-1.4%,0.7%,-0.0%,-1.1%,-0.0%,1.6%,1.6%,1.9%,4.2%,4.2%,1.2%,1.8%,0.5%,-3.3%,-0.8%,1.4%,-0.5%,-1.3%,-2.7%,-3.6%,-3.8%,
,Telefonía móvil,2719.91,2916.79,3096.39,0.00,2977.22,3177.27,3363.82,3375.43,3344.76,3579.14,3657.94,3571.12,3477.52,3500.18,3565.23,3427.72,3225.56,3274.12,3372.17,3228.64,2991.41,3029.58,3099.28,2931.34,2849.81,2865.66,2900.24,2669.41,2441.06,2369.98,2371.32,2180.26,1957.81,1926.41,1855.53,1714.23,1576.95,1517.02,1497.84,1417.38,1312.69,1253.36,1265.01,1225.06,1184.27,1225.24,1220.69,1133.14,1105.33,1133.76,1133.86,1084.71,1047.52,1056.03,1054.10,1011.70,978.76,956.71,961.87,964.12,947.22,917.77,916.27,896.21,867.30,
,,--,--,--,--,9.5%,8.9%,8.6%,--,12.3%,12.6%,8.7%,5.8%,4.0%,-2.2%,-2.5%,-4.0%,-7.2%,-6.5%,-5.4%,-5.8%,-7.3%,-7.5%,-8.1%,-9.2%,-4.7%,-5.4%,-6.4%,-8.9%,-14.3%,-17.3%,-18.2%,-18.3%,-19.8%,-18.7%,-21.8%,-21.4%,-19.5%,-21.3%,-19.3%,-17.3%,-16.8%,-17.4%,-15.5%,-13.6%,-9.8%,-2.2%,-3.5%,-7.5%,-6.7%,-7.5%,-7.1%,-4.3%,-5.2%,-6.9%,-7.0%,-6.7%,-6.6%,-9.4%,-8.7%,-4.7%,-3.2%,-4.1%,-4.7%,-7.0%,-8.4%,
,Banda ancha móvil,63.18,63.35,88.01,0.00,94.23,102.93,135.64,134.49,146.58,170.09,207.81,225.14,248.13,270.82,295.59,293.75,313.28,344.30,384.16,401.03,436.38,479.02,525.03,523.23,482.30,520.22,595.14,609.98,647.05,674.44,713.01,731.19,775.22,810.37,853.16,852.99,873.61,888.23,924.70,922.96,926.51,980.53,1058.49,1036.88,1022.90,1024.71,1102.81,1103.35,1100.93,1152.30,1227.41,1194.30,1250.89,1326.70,1336.02,1308.00,1331.48,1347.82,1408.92,1386.90,1352.51,1356.81,1391.39,1369.11,1345.30,
,,--,--,--,--,49.1%,62.5%,54.1%,--,55.6%,65.2%,53.2%,67.4%,69.3%,59.2%,42.2%,30.5%,26.3%,27.1%,30.0%,36.5%,39.3%,39.1%,36.7%,30.5%,10.5%,8.6%,13.4%,16.6%,34.2%,29.6%,19.8%,19.9%,19.8%,20.2%,19.7%,16.7%,12.7%,9.6%,8.4%,8.2%,6.1%,10.4%,14.5%,12.3%,10.4%,4.5%,4.2%,6.4%,7.6%,12.5%,11.3%,8.2%,13.6%,15.1%,8.8%,9.5%,6.4%,1.6%,5.5%,6.0%,1.6%,0.7%,-1.2%,-1.3%,-0.5%,
