Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
Euskaltel,72.14,74.57,74.77,0.00,77.25,80.45,79.76,80.02,85.40,81.48,82.00,82.97,81.88,83.45,81.97,82.44,81.00,82.83,82.48,83.82,83.99,84.58,82.43,81.96,82.09,84.30,85.52,85.61,83.12,82.78,82.29,84.63,79.76,81.81,79.02,80.49,76.45,76.85,76.98,78.30,76.32,78.75,79.41,139.94,139.50,141.38,141.18,140.36,136.96,137.40,173.67,175.62,173.51,169.55,171.59,175.01,172.61,175.08,173.14,177.96,174.04,174.57,178.78,185.42,175.08,
Jazztel,40.55,50.76,50.83,0.00,63.70,68.87,66.40,71.87,76.61,79.84,71.95,81.17,82.38,84.17,89.64,100.44,102.06,106.77,115.38,130.24,137.04,149.75,156.91,171.93,175.55,180.90,192.14,207.32,216.73,224.00,229.06,240.79,242.15,257.19,262.18,284.38,283.19,295.25,298.97,297.61,311.55,316.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
DTS,395.50,380.09,315.64,0.00,436.62,419.91,336.24,461.97,466.44,471.60,359.19,497.96,496.44,495.77,375.60,474.39,456.51,409.30,297.16,351.09,335.21,343.91,297.38,336.13,250.17,246.80,234.98,246.88,251.54,245.59,271.82,291.15,300.10,292.41,274.59,293.07,288.30,286.31,275.90,306.79,308.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ono,444.70,452.84,417.25,0.00,414.44,407.15,410.04,406.49,396.82,405.31,398.65,402.57,409.26,416.95,395.93,399.92,389.65,380.50,371.28,371.83,369.41,368.45,362.23,368.61,364.43,368.46,371.13,381.38,382.73,389.43,396.33,414.32,398.34,401.25,383.66,414.83,409.65,386.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Resto,756.75,877.95,709.07,0.00,800.92,912.86,748.61,937.05,913.53,1019.41,841.19,1062.51,967.96,1054.86,888.41,1117.21,981.79,1049.78,933.38,1121.57,1024.27,1071.45,1004.43,1124.07,1112.42,1157.27,1101.95,1190.73,1124.08,1107.25,1101.01,1106.93,1034.67,1065.62,1036.36,1142.97,1001.69,996.76,932.59,1036.70,988.51,1013.97,995.42,994.81,1028.74,1068.88,1212.60,1014.23,959.49,945.82,1035.60,1098.86,1009.08,1040.78,970.78,1067.28,1039.24,1074.21,830.66,961.22,839.65,733.39,762.84,937.31,789.37,
Total,9327.12,10068.01,9853.61,0.00,9759.65,10267.81,10068.80,10519.07,10425.00,10946.04,10485.74,10992.16,10571.44,10898.73,10640.27,10696.10,9992.69,10041.20,9838.13,10292.48,9537.15,9786.76,9664.84,9806.44,9355.65,9418.78,9248.58,9374.82,8773.38,8582.04,8388.42,8544.54,7946.98,8100.74,7730.89,8035.80,7488.64,7476.90,7270.77,7681.01,7248.51,7487.14,7465.50,7815.02,7540.20,7901.27,8436.42,8514.18,8077.82,8306.74,8486.77,8736.45,8313.04,8574.59,8391.73,8715.35,8418.90,8568.08,8274.41,8746.28,8234.86,7791.92,8004.85,8476.44,7972.31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grupo MASMOVIL incluye Más Móvil, Yoigo, Pepephone y Xtra Telecom a partir del 4º trim de 2016, LlamaYA a partir del 1er trim de 2017, Lebara a partir del 4º trim de 2018, Hits Mobile a partir del 3er trim de 2019 y Lycamobile a partir del 2º trim de 2020. Euskaltel incluye R a partir del 4º trim 2015 y TeleCable a partir del 3er trim 2017. Orange incluye Jazztel a partir del 3er trim 2015 y Suma a partir del 4º trim 2019. Vodafone incluye Ono a partir del 3er trim 2014. Movistar incluye fijo, móvil y audiovisual para toda la serie histórica. Movistar incluye DTS a partir del 2º trim 2015 y TAD a partir del 1er trim 2016. Los operadores móviles de red incluyen los OMV y las marcas comerciales de su propiedad (Movistar incluye Tuenti y O2, Vodafone incluye Lowi y Orange incluye Amena, Simyo a partir del 1er trim 2013 y República Móvil a partir del 1er trim 2019). Los ingresos mayoristas incluyen la venta a terceros operadores y la venta a empresas del mismo grupo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
